"","x"
"1",12.8241025838539
"2",10.2372338976725
"3",10.7947420972167
"4",9.86043500468978
"5",10.8114625351109
"6",11.845667871119
"7",9.61836156394331
"8",10.4098706857584
"9",11.7800782972975
"10",9.92624000915129
"11",11.3927423106085
"12",9.82564194987087
"13",10.9700279902776
"14",9.77591339267605
"15",9.61355322287145
"16",9.23296313828516
"17",9.59172880047525
"18",11.7412721188694
"19",9.89202931596644
"20",8.43153117148938
"21",10.0701077974406
"22",11.161504704816
"23",10.7062448909858
"24",8.38068015662917
"25",9.08713372514928
"26",8.70294367290388
"27",10.402162680024
"28",9.37853860462052
"29",11.3375376953923
"30",10.389200388473
