"","x"
"1",0.86033187422252
"2",0.914467771048879
"3",0.546207739641413
"4",0.883178324686028
"5",0.640358121951359
"6",0.578498447218387
"7",0.997905393974587
"8",0.986491493215982
"9",0.983026879618049
"10",0.528819090496799
"11",0.566993021306948
"12",0.620904512156772
"13",0.952591811085685
"14",0.765363943687806
"15",0.937467716138299
"16",0.929404428005471
"17",0.963067013054938
"18",0.843591494540009
"19",0.582561335222859
"20",0.657017902412014
"21",0.892519503505973
"22",0.905112287514386
"23",0.916245898952295
"24",0.55270627464561
"25",0.521919723377499
"26",0.611491249562246
"27",0.754124914666172
"28",0.781227143946318
"29",0.795095536947252
"30",0.693662486348096
